HRU,Area_ha,Area_rel
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
1,0,0.002770083
